timestamp,open,high,low,close,volume
1643454000000,2550.14,2553.88,2540.00,2553.08,31699.025
1643457600000,2553.07,2590.94,2538.50,2572.77,91438.145
1643461200000,2572.77,2612.16,2561.04,2605.00,87542.160
1643464800000,2604.99,2606.65,2530.49,2540.54,132855.530
1643468400000,2540.71,2552.85,2523.14,2541.95,107372.102
1643472000000,2541.61,2560.79,2525.68,2557.70,62610.445
1643475600000,2557.70,2575.55,2556.14,2563.46,52890.814
1643479200000,2563.16,2599.86,2561.29,2590.70,60917.316
1643482800000,2590.84,2607.16,2585.41,2589.09,44318.013
1643486400000,2589.08,2658.41,2578.56,2604.38,138228.842
1643490000000,2604.36,2636.26,2598.02,2613.48,69239.493
1643493600000,2613.54,2617.92,2592.22,2598.78,39637.309
1643497200000,2598.79,2603.00,2580.00,2599.94,40554.943
1643500800000,2599.93,2613.40,2556.24,2567.21,101428.085
1643504400000,2567.22,2583.00,2562.50,2579.07,35040.987
1643508000000,2579.08,2582.70,2567.39,2579.10,29150.716
1643511600000,2579.11,2586.46,2565.00,2568.62,31053.297
1643515200000,2568.62,2592.44,2565.30,2588.39,35648.283
1643518800000,2588.39,2612.56,2586.00,2603.52,66043.798
1643522400000,2603.52,2622.17,2594.41,2614.92,49318.224
1643526000000,2614.91,2632.10,2607.12,2617.65,63777.077
1643529600000,2617.65,2625.92,2598.14,2605.68,48040.521
1643533200000,2605.67,2615.65,2595.88,2608.57,34881.794
1643536800000,2608.59,2626.63,2603.14,2625.84,38180.075
1643540400000,2625.79,2644.93,2608.34,2624.36,49440.026
1643544000000,2624.51,2639.19,2606.61,2614.65,69957.596
1643547600000,2614.66,2621.46,2602.51,2609.38,37013.023
1643551200000,2609.37,2616.16,2584.00,2600.73,66752.624
1643554800000,2600.74,2619.93,2592.00,2616.13,57136.531
1643558400000,2616.13,2622.87,2591.01,2596.62,49260.768
1643562000000,2596.62,2619.78,2585.48,2617.72,41239.092
1643565600000,2617.72,2623.33,2593.63,2596.00,40550.978
1643569200000,2596.00,2596.43,2550.56,2559.21,92751.147
1643572800000,2559.21,2581.97,2541.46,2574.02,83289.442
1643576400000,2574.03,2577.72,2548.47,2558.81,57482.505
1643580000000,2558.82,2579.81,2542.72,2573.99,39142.427
1643583600000,2573.99,2629.97,2573.67,2600.45,105657.461
1643587200000,2600.45,2607.17,2532.73,2538.05,134050.194
1643590800000,2538.06,2549.50,2520.16,2524.43,83477.992
1643594400000,2524.43,2524.96,2486.42,2510.52,112213.987
1643598000000,2510.51,2520.65,2500.23,2510.51,47301.411
1643601600000,2510.51,2510.71,2475.33,2496.86,84128.531
1643605200000,2496.85,2509.08,2488.68,2506.55,34293.678
1643608800000,2506.55,2514.99,2500.22,2504.55,35298.786
1643612400000,2504.60,2527.60,2501.00,2526.69,52618.531
1643616000000,2526.68,2533.00,2521.34,2529.66,36068.297
1643619600000,2529.66,2544.55,2521.04,2540.13,45583.440
1643623200000,2540.14,2556.00,2532.79,2549.95,38721.636
1643626800000,2549.76,2571.72,2517.50,2556.85,106984.973
1643630400000,2556.86,2571.72,2517.92,2539.05,129252.849
1643634000000,2539.04,2569.76,2519.14,2556.86,94091.407
1643637600000,2556.86,2590.13,2551.06,2586.14,101847.166
1643641200000,2586.14,2636.00,2580.94,2619.36,184732.019
1643644800000,2619.37,2690.00,2612.33,2683.83,236751.911
1643648400000,2683.83,2695.00,2668.76,2686.41,139130.942
1643652000000,2686.41,2695.00,2671.66,2678.26,86101.214
1643655600000,2678.26,2706.39,2659.78,2672.07,128763.602
1643659200000,2672.08,2693.64,2662.16,2683.00,70681.387
1643662800000,2683.00,2688.26,2672.49,2679.02,33025.292
1643666400000,2678.84,2706.47,2676.50,2679.02,71275.252
1643670000000,2679.02,2689.65,2676.09,2685.34,33384.489
1643673600000,2685.34,2705.53,2672.61,2687.34,75617.393
1643680800000,2683.35,2720.00,2679.03,2714.04,53530.192
1643684400000,2714.04,2758.28,2708.25,2749.50,102842.262
1643688000000,2749.49,2765.99,2732.69,2741.97,61793.786
1643691600000,2741.97,2749.87,2729.38,2730.96,42021.061
1643695200000,2731.11,2737.00,2716.53,2731.40,47851.014
1643698800000,2731.41,2744.40,2730.40,2735.34,31701.271
1643702400000,2735.34,2763.95,2730.56,2763.15,55759.215
1643706000000,2763.16,2795.00,2727.27,2733.34,209106.669
1643709600000,2733.34,2743.81,2716.59,2734.60,83424.525
1643713200000,2734.60,2768.47,2728.04,2758.47,75163.005
1643716800000,2758.50,2786.21,2752.15,2778.51,85045.153
1643720400000,2778.51,2806.00,2763.40,2789.03,134517.811
1643724000000,2788.94,2810.00,2753.47,2769.48,186218.328
1643727600000,2769.49,2771.63,2730.00,2767.27,174870.363
1643731200000,2767.26,2812.94,2764.08,2800.19,134829.650
1643734800000,2800.20,2807.92,2764.16,2780.41,117054.513
1643738400000,2780.41,2801.74,2758.00,2766.88,73485.518
1643742000000,2766.89,2775.66,2748.46,2749.55,66222.374
1643745600000,2749.56,2784.64,2748.50,2768.30,52570.688
1643749200000,2768.30,2797.87,2767.04,2794.84,50668.887
1643752800000,2794.83,2804.88,2773.03,2786.52,41155.667
1643756400000,2786.51,2802.00,2774.24,2786.38,47756.793
1643760000000,2786.37,2802.99,2756.81,2771.05,79986.629
1643763600000,2771.05,2779.14,2742.83,2755.19,60071.839
1643767200000,2755.20,2777.02,2739.22,2772.79,65124.107
1643770800000,2772.80,2795.00,2771.56,2778.70,41397.157
1643774400000,2778.71,2779.00,2755.01,2758.45,48831.067
1643778000000,2758.45,2768.00,2749.00,2762.86,46134.002
1643781600000,2762.85,2779.87,2741.68,2752.03,77377.008
1643785200000,2752.03,2759.99,2740.00,2748.50,44290.921
1643788800000,2748.50,2763.62,2739.20,2761.50,46874.832
1643792400000,2761.50,2774.65,2755.11,2773.42,36001.010
1643796000000,2773.42,2774.06,2759.73,2762.55,30362.965
1643799600000,2762.56,2768.51,2751.22,2765.24,32204.813
1643803200000,2765.23,2810.00,2763.33,2799.65,141564.846
1643806800000,2799.64,2802.82,2770.12,2773.21,77761.124
1643810400000,2773.20,2777.11,2682.90,2685.72,288291.776
1643814000000,2685.72,2701.79,2652.23,2662.83,250213.668
